"",,,"2018-2022",,
"Brazil","Area equipped for irrigation by desalinated water (1000 ha)",,,"",
"Brazil","% of area equipped for irrigation by surface water (%)",2018,95.6953055802,"E",
"Brazil","% of area equipped for irrigation by groundwater (%)",2018,4.3046944198,"E",
"Brazil","% of area equipped for irrigation by mixed surface water and groundwater (%)",2018,0.0,"I",
"Brazil","% of area equipped for irrigation by direct use of  treated municipal wastewater (%)",,,"",
"Brazil","% of area equipped for irrigation by direct use of non-treated municipal wastewater (%)",,,"",
"Brazil","% of area equipped for irrigation by direct use of agricultural drainage water (%)",,,"",
"Brazil","% of area equipped for irrigation by desalinated water (%)",,,"",
"Brazil","Area equipped for power irrigation (surface water or groundwater) (1000 ha)",,,"",
"Brazil","% of area equipped for irrigation power irrigated (%)",,,"",
"Brazil","Total harvested irrigated crop area (full control irrigation) (1000 ha)",2018,8411.0,"",
"Brazil","Harvested irrigated temporary crop area: Total (1000 ha)",2018,4798.0,"I",
"Brazil","Harvested irrigated permanent crop area: Total (1000 ha)",2018,476.0,"I",
"Brazil","Permanent meadows and pastures irrigated (1000 ha)",2018,55.0,"I",
"Brazil","Irrigated cropping intensity (%)",2018,163.0354719907,"E",
"Brazil","Harvested irrigated temporary crop area: Wheat (1000 ha)",2018,19.0,"I",
"Brazil","Harvested irrigated temporary crop area: Rice (1000 ha)",2018,1129.0,"I",
"Brazil","Harvested irrigated temporary crop area: Barley (1000 ha)",,,"",
"Brazil","Harvested irrigated temporary crop area: Maize (1000 ha)",2018,559.0,"I",
"Brazil","Harvested irrigated temporary crop area: Millet (1000 ha)",,,"",
"Brazil","Harvested irrigated temporary crop area: Sorghum (1000 ha)",,,"",
"Brazil","Harvested irrigated temporary crop area: Other cereals (1000 ha)",,,"",
"Brazil","Harvested irrigated temporary crop area: Vegetables (1000 ha)",2018,151.8,"I",
"Brazil","Harvested irrigated temporary crop area: Soybeans (1000 ha)",2018,624.2,"I",
"Brazil","Harvested irrigated temporary crop area: Groundnuts (1000 ha)",,,"",
"Brazil","Harvested irrigated temporary crop area: Sesame (1000 ha)",,,"",
"Brazil","Harvested irrigated temporary crop area: Sunflower (1000 ha)",,,"",
"Brazil","Harvested irrigated temporary crop area: Potatoes (1000 ha)",2018,23.0,"I",
"Brazil","Harvested irrigated temporary crop area: Sweet potatoes (1000 ha)",,,"",
"Brazil","Harvested irrigated temporary crop area: Cassava (1000 ha)",,,"",
"Brazil","Harvested irrigated temporary crop area: Other roots and tubers (1000 ha)",,,"",
"Brazil","Harvested irrigated temporary crop area: Leguminous crops (1000 ha)",2018,315.9,"I",
"Brazil","Harvested irrigated temporary crop area: Sugar beet (1000 ha)",,,"",
"Brazil","Harvested irrigated temporary crop area: Sugarcane (1000 ha)",2018,1705.0,"I",
"Brazil","Harvested irrigated temporary crop area: Fodder (1000 ha)",,,"",
"Brazil","Harvested irrigated temporary crop area: Cotton (1000 ha)",2018,207.0,"I",
"Brazil","Harvested irrigated temporary crop area: Flowers (1000 ha)",,,"",
"Brazil","Harvested irrigated temporary crop area: Tobacco (1000 ha)",2018,64.0,"I",
"Brazil","Harvested irrigated temporary crop area: Other crops (1000 ha)",,,"",
"Brazil","Harvested irrigated permanent crop area: Plantains (1000 ha)",,,"",
"Brazil","Harvested irrigated permanent crop area: Bananas (1000 ha)",2018,27.0,"I",
"Brazil","Harvested irrigated permanent crop area: Citrus (1000 ha)",2018,157.5,"I",
"Brazil","Harvested irrigated permanent crop area: Grapes (1000 ha)",,,"",
"Brazil","Harvested irrigated permanent crop area: Other fruits (1000 ha)",2018,29.0,"I",
"Brazil","Harvested irrigated permanent crop area: Coconuts (1000 ha)",,,"",
"Brazil","Harvested irrigated permanent crop area: Olives (1000 ha)",,,"",
"Brazil","Harvested irrigated permanent crop area: Oil palm (1000 ha)",,,"",
"Brazil","Harvested irrigated permanent crop area: Coffee (1000 ha)",2018,262.2,"I",
"Brazil","Harvested irrigated permanent crop area: Tea (1000 ha)",,,"",
"Brazil","Harvested irrigated permanent crop area: Cocoa beans (1000 ha)",,,"",
"Brazil","Harvested irrigated permanent crop area: Grass and Fodder (1000 ha)",,,"",
"Brazil","Harvested irrigated permanent crop area: Rubber (1000 ha)",,,"",
"Brazil","Harvested irrigated permanent crop area: Other crops (1000 ha)",,,"",
"Brazil","% of total grain production irrigated (%)",,,"",
"Brazil","Ratio between rainfed and irrigated yields (-)",2018,1.841,"I",
"Brazil","Area equipped for irrigation drained (1000 ha)",,,"",
"Brazil","Non-irrigated cultivated area drained (1000 ha)",,,"",
"Brazil","Total cultivated area drained (1000 ha)",2018,1280.0,"I",
"Brazil","% of area equipped for irrigation drained (%)",,,"",
"Brazil","% of total cultivated area drained (%)",2018,2.0151768003,"E",
"Brazil","Area salinized by irrigation (1000 ha)",2018,15.0,"I",
"Brazil","% of area equipped for irrigation salinized (%)",2018,0.2657218778,"E",
"Brazil","Area waterlogged by irrigation (1000 hectares)",,,"",
"Brazil","Flood occurrence (WRI) (-)",2018,3.1,"I",
"Brazil","Total population with access to safe drinking-water (JMP) (%)",2018,98.1,"I",
"Brazil","Rural population with access to safe drinking-water (JMP) (%)",2018,87.0,"I",
"Brazil","Urban population with access to safe drinking-water (JMP) (%)",2018,100.0,"I",
"Brazil","Population affected by water related disease (1000 inhabitants)",,,"",



-- Coverage
-- Computation information
-- General
-- Accuracy
(c) 2022 FAO of the UN
The information contained in AQUASTAT is provided free of charge to all users. Recommended citation:<br/>
FAO [Year of publication].AQUASTAT Database. AQUASTAT&nbsp;<a href=""http://www.fao.org/nr/water/aquastat/data/query/index.html?lang=en"" target=""_blank"">Website</a>&nbsp;accessed on&nbsp;[22/08/2022 19:52]

